[20:01:18] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[20:01:18] [INIT] Loaded plugins:
[20:01:18] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[20:01:18] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgeClientPlugin
[20:01:18] [INIT] - com.lowdragmc.lowdraglib.kjs.LDLibKubeJSPlugin
[20:01:18] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[20:01:18] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbchunks.kubejs.FTBChunksKubeJSPlugin
[20:01:18] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[20:01:18] [INIT] - com.prunoideae.powerfuljs.forge.PowerfulJSPluginForge
[20:01:18] [INIT] - com.almostreliable.morejs.Plugin
[20:01:18] [INIT] - com.almostreliable.lootjs.kube.LootJSPlugin
[20:01:18] [INIT] - com.blakebr0.cucumber.compat.kubejs.CucumberKubeJSPlugin
[20:01:18] [INIT] - com.tacz.guns.compat.kubejs.TimelessKubeJSPlugin
[20:01:18] [INIT] - com.gregtechceu.gtceu.integration.kjs.GregTechKubeJSPlugin
[20:01:18] [INIT] - net.neganote.monilabs.integration.kjs.MoniKubeJSPlugin
[20:01:18] [INFO] _initial.js#42: Loaded Java class 'com.google.gson.JsonObject'
[20:01:18] [INFO] _initial.js#44: Loaded Java class 'com.gregtechceu.gtceu.integration.kjs.recipe.components.GTRecipeComponents$FluidIngredientJS'
[20:01:18] [INFO] Loaded script server_scripts:_initial.js in 0.002 s
[20:01:18] [INFO] Loaded script server_scripts:gregtech/sculk.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:microverse/mission_utils.js in 0.001 s
[20:01:18] [INFO] Loaded script server_scripts:aa_planet_resources.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:Early_Game.js in 0.001 s
[20:01:18] [INFO] Loaded script server_scripts:End_Game.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:Extended_Crafting_Recipes.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:extractor_solidifer.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/active_transformer.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/delay_rmm.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/enchantments.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/Fixes_Server.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/glass_breaking.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/hatch_revert.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/large_boiler_buff.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/no_structures.js in 0.0 s
[20:01:18] [INFO] Loaded script server_scripts:fixes_tweaks/omnibreaker_retier.js in 0.0 s
